method,block,antenna_index,column_index,global_column_index,real,imag,abs,phase_rad
cse,Wc,0,0,0,0.09020675838179218,0.03423822243316872,0.09648582866480535,0.3627561282186065
cse,Wc,0,1,1,0.09200608518311093,-0.20280446682424413,0.22269883581776492,-1.14489550935844
cse,Wr,0,0,2,0.023218383430028824,0.05825385649429973,0.06271048656773687,1.191521185039941
cse,Wr,0,1,3,0.14454357814237606,0.04745659669572197,0.15213472500432496,0.31723209564524674
cse,Wr,0,2,4,0.10330532638660885,-0.024923102479664543,0.10626924059696505,-0.23673290095908492
cse,Wr,0,3,5,0.003024375043897048,0.0115953081603957,0.01198323895032918,1.3156533373053196
cse,Wr,0,4,6,0.011009856014015697,-0.02203299436898831,0.024630667272999895,-1.1073898823329045
cse,Wr,0,5,7,0.016681308139294956,-0.020409198400287966,0.02635908611049376,-0.8855696975802001
cse,Wr,0,6,8,-0.006185324749977202,-0.01515672677019757,0.01637023544879866,-1.9582582402449742
cse,Wr,0,7,9,-0.017518398552456647,0.01346766767896727,0.022096885765958398,2.4861848340013535
cse,Wr,0,8,10,-0.0043969676342797675,0.007661144864376392,0.008833259025403058,2.0918267653660143
cse,Wr,0,9,11,-0.018417416506572866,-0.010316411483399398,0.02110994023372396,-2.6309944625722386
cse,Wc,1,0,0,-0.15315834004500317,0.1180695339756939,0.19338534582169964,2.4848501175715962
cse,Wc,1,1,1,0.11156520002958269,0.06643967380803278,0.12985000621239337,0.5371212919718823
cse,Wr,1,0,2,-0.06364988415874033,0.013489560832022969,0.06506363043100125,2.93274907497987
cse,Wr,1,1,3,0.1266603189183072,0.03338005435371543,0.13098497783007135,0.25768099387711546
cse,Wr,1,2,4,-0.03401578005355213,-0.14287097998346987,0.14686453014287923,-1.8045320893509158
cse,Wr,1,3,5,0.0034748247724538496,0.012021197494993906,0.012513336741769028,1.289407934518916
cse,Wr,1,4,6,-0.009402892687132736,0.003500620397576078,0.010033380988164458,2.7851983553335504
cse,Wr,1,5,7,-0.010404748434219674,-0.017016712384740704,0.019945608297677574,-2.1195872856178677
cse,Wr,1,6,8,0.007224960077742568,-0.007195595755768361,0.010196893958721231,-0.7833618839552776
cse,Wr,1,7,9,0.013192523566310364,0.025027518948546816,0.02829168398606778,1.0856882892325672
cse,Wr,1,8,10,0.018665182479609473,0.012795700922691616,0.022630046378655337,0.6009541690939935
cse,Wr,1,9,11,-0.02526178674329649,-0.008473532521941197,0.026645048749517904,-2.8179573054427856
cse,Wc,2,0,0,0.07357527818478325,-0.15199906362600585,0.16886988157498903,-1.119989242871387
cse,Wc,2,1,1,-0.010203858462053322,0.02354531810971569,0.025661269111275906,1.9797358817618407
cse,Wr,2,0,2,-0.09048904690477412,-0.0498144770524367,0.10329448065478694,-2.6383634692384996
cse,Wr,2,1,3,0.16912753988791035,-0.07872809495586654,0.18655357858780583,-0.4356649368322753
cse,Wr,2,2,4,-0.11471645639921403,0.09810937440145019,0.1509480530322823,2.4340680186155073
cse,Wr,2,3,5,-0.018134072894554324,5.676948525179068e-05,0.01813416175397875,3.138462121351923
cse,Wr,2,4,6,0.014046261959439862,0.01662287631183149,0.021762754694929033,0.8692145968062667
cse,Wr,2,5,7,-0.009543907314533865,-0.0068417212685494425,0.01174288366394451,-2.5196353964422915
cse,Wr,2,6,8,0.0007155661933016933,0.0016339883532010416,0.0017838029362552714,1.1580282727784512
cse,Wr,2,7,9,0.018290826161347532,0.004436245848768511,0.01882112108497661,0.23794468212352995
cse,Wr,2,8,10,-0.014124873554789858,0.024134865165829734,0.027964330306867416,2.100297897044036
cse,Wr,2,9,11,-0.020854431013847742,0.0072437550443556825,0.02207666822810822,2.807281934658841
cse,Wc,3,0,0,0.11640666090346073,0.03574885786984532,0.1217722938179769,0.2979606831434252
cse,Wc,3,1,1,0.13334090926637748,0.061933083315484284,0.14702212382137264,0.43482323608205203
cse,Wr,3,0,2,0.07274172564118474,-0.05551049726490298,0.09150286310194997,-0.651843703289972
cse,Wr,3,1,3,0.16599981140721518,-0.03737862243561106,0.17015610127884034,-0.2214787957019016
cse,Wr,3,2,4,0.15379606449526717,-0.012405716341302775,0.15429559699542061,-0.0804891506536409
cse,Wr,3,3,5,-0.0018512974030360262,-0.010974138616638693,0.011129196756805432,-1.7379192031736603
cse,Wr,3,4,6,-0.019902922617405488,-0.016600175975401678,0.025917024735272638,-2.446427327512873
cse,Wr,3,5,7,-0.0069725985978578335,-0.02126297433262212,0.02237702412468191,-1.8876688656625462
cse,Wr,3,6,8,-0.02355744821680291,-0.0016873301707722211,0.023617799423158562,-3.070088579985019
cse,Wr,3,7,9,0.006900143058776224,0.002308291860339578,0.007276000655860859,0.322825473453523
cse,Wr,3,8,10,-0.015520130454393133,-0.0034356804383301686,0.015895859504780036,-2.9237366376156864
cse,Wr,3,9,11,0.016201078779589193,-0.0009073127944991822,0.016226465115037135,-0.05594479441853694
cse,Wc,4,0,0,-0.24814574343134152,0.045288125281760336,0.2522445723392866,2.961073277385238
cse,Wc,4,1,1,0.05500192989988378,-0.013590362221973606,0.05665606973693265,-0.2422368623292646
cse,Wr,4,0,2,0.044648342014607253,0.06933192476925824,0.08246447863694664,0.9986650551063784
cse,Wr,4,1,3,0.07985738600677349,0.053686761589921826,0.0962261423410911,0.5918807495617966
cse,Wr,4,2,4,-0.01743326519226754,-0.12279044562502427,0.12402182175752768,-1.7118295066781755
cse,Wr,4,3,5,-0.009358582865977988,-0.01420651580190641,0.01701200060219824,-2.153300109340499
cse,Wr,4,4,6,-0.004850520875912142,-0.0036803704134834273,0.006088733788572437,-2.492510091760855
cse,Wr,4,5,7,7.071923839462624e-06,0.0033484585163568487,0.003348465984278398,1.568684336071365
cse,Wr,4,6,8,-0.0057818417713108175,0.0011128192304260117,0.005887958976426427,2.95144982831778
cse,Wr,4,7,9,0.010683882294389902,4.7490907129513884e-06,0.010683883349898607,0.0004445098017090495
cse,Wr,4,8,10,-0.03373555785401795,-0.0051833510737369845,0.03413143700571956,-2.9891383488113306
cse,Wr,4,9,11,0.008304480138129386,-0.0010327795986614958,0.008368454102401284,-0.12372887616940789
cse,Wc,5,0,0,-0.11521853193178921,0.02277122322195822,0.11744717411475246,2.946472090630689
cse,Wc,5,1,1,-0.062407468955346705,-0.08875997617438275,0.1085035739129802,-2.183602285225054
cse,Wr,5,0,2,-0.050491624703013945,-0.11776363231397462,0.12813148426882057,-1.975842317678853
cse,Wr,5,1,3,0.11077075258586741,0.05302500293187891,0.12280802320844196,0.44645584856764686
cse,Wr,5,2,4,-0.10824512928372841,0.17494475234926363,0.20572475395099216,2.124880626843513
cse,Wr,5,3,5,0.0010792755614966263,-0.012746117176858491,0.012791729313265308,-1.486322978647191
cse,Wr,5,4,6,0.0069269948416506785,0.004976990967665754,0.008529577752062619,0.6230292481052812
cse,Wr,5,5,7,-0.011175797757030951,0.0017036033522049576,0.011304898048531974,2.9903203394972064
cse,Wr,5,6,8,0.0030386928969559643,0.0055325093876111425,0.006312076888474668,1.0685343745487912
cse,Wr,5,7,9,0.004259350939157169,-0.011175943014722004,0.01196009083122752,-1.2066729134616716
cse,Wr,5,8,10,-0.00635105084459578,0.002382576261078683,0.006783252646813065,2.7826933074727123
cse,Wr,5,9,11,-0.004143903867614927,0.0008486628689872917,0.004229913465927133,2.9395880000102745
cse,Wc,6,0,0,0.013744569113877272,-0.061522342457402034,0.0630389704989858,-1.3509979110710266
cse,Wc,6,1,1,0.030751838381475865,0.0018059906102694855,0.030804823744420184,0.05866051348470098
cse,Wr,6,0,2,0.16709749667627824,-0.04129305088495711,0.17212405249373625,-0.24226577820324613
cse,Wr,6,1,3,0.20209452906327766,-0.041991915614816716,0.20641104537865668,-0.2048684030206272
cse,Wr,6,2,4,0.13380746013433023,0.061001985328512386,0.1470567189951565,0.42774435173736
cse,Wr,6,3,5,-0.0004918450458432749,-0.015929490064823398,0.01593708145409403,-1.6016629039956956
cse,Wr,6,4,6,-0.0033970634717291623,-0.019776613488383343,0.020066252298320746,-1.7409079611637757
cse,Wr,6,5,7,0.00036286779848157275,-0.0015610368542168477,0.0016026568876082287,-1.342399374883753
cse,Wr,6,6,8,-0.007683851519559685,-0.0022273193683385456,0.008000157857393548,-2.8594549914376395
cse,Wr,6,7,9,-0.008716191681850604,-0.013096086177392741,0.015731480241873583,-2.158030298338475
cse,Wr,6,8,10,-0.0075733746109573775,-0.011643514703543722,0.013889832167795716,-2.147478802578827
cse,Wr,6,9,11,-0.005073153405770593,-0.0054684051204236415,0.007459245272784457,-2.318717427509267
cse,Wc,7,0,0,-0.06611498869974737,-0.044812326131550916,0.0798707474867251,-2.5459261937008395
cse,Wc,7,1,1,-0.10504286917650353,0.10170619251910352,0.14621270109523654,2.372331864577293
cse,Wr,7,0,2,0.0796824113917302,0.15590712565862658,0.17508945860997946,1.0983169510040611
cse,Wr,7,1,3,0.15131220660679004,-0.04105717411854798,0.15678353043230236,-0.2649611027684538
