algo,seed,update,episode,train_reward,train_objective,train_feasible_rate,train_min_sinr_db,actor_loss,critic_loss,entropy,alpha_entropy,approx_kl,clip_fraction,grad_norm,update_time_sec
ppo,1,1,256,-12852.64663512443,1288.0253668376417,0.0,-15.620571726037515,0.04641992459073663,54059420.0,0.7189823389053345,0.001,0.06456727534532547,0.4267578125,69554.947265625,10.31441479397472
ppo,1,2,512,-12789.817808555052,1260.1132791934422,0.0,-15.558228583911418,0.00026594556402415037,54021545.5,0.719043105840683,0.001,0.07043083943426609,0.46826171875,65666.86376953125,9.758776444941759
ppo,1,3,768,-12798.678435573163,1271.0967845989046,0.0,-15.605090887473132,0.0062352932873182,53366508.0,0.7190636694431305,0.001,0.07380245067179203,0.451904296875,64473.78173828125,9.656790783978067
ppo,1,4,1024,-13078.06522277065,1306.3155231935882,0.0,-15.975889127550639,0.02303430309984833,55405080.0,0.7190981507301331,0.001,0.0984707735478878,0.50439453125,60611.55029296875,9.661062804982066
ppo,1,5,1280,-13167.517843739804,1328.9425064011084,0.0,-16.703990398193696,0.03750605881214142,57722248.0,0.7191415280103683,0.001,0.05293113738298416,0.369140625,62873.8994140625,9.578675355995074
ppo,1,6,1536,-12954.187709352924,1282.1799942812506,0.0,-15.62819132273704,0.035233236849308014,55487024.0,0.7191783785820007,0.001,0.055401213467121124,0.39892578125,63531.603515625,9.7138234609738
ppo,1,7,1792,-13172.587023494778,1322.322650386675,0.0,-16.12519854873315,0.04070771229453385,57732578.0,0.719197541475296,0.001,0.06532585993409157,0.4404296875,66902.7265625,9.650791589054279
ppo,1,8,2048,-12563.816660378068,1259.633994039273,0.0,-15.393538510144193,0.039663199335336685,52717047.0,0.7192260473966599,0.001,0.07494755834341049,0.4150390625,65724.09765625,9.610774143016897
ppo,1,9,2304,-13393.30638574919,1365.204214123839,0.0,-16.617792695753646,0.045615526381880045,60298538.0,0.7192578613758087,0.001,0.06664639711380005,0.42919921875,72406.40625,9.658283928991295
ppo,1,10,2560,-12787.24432541626,1268.6982927061465,0.0,-15.609777356782233,0.04981576115824282,53644027.0,0.7192728891968727,0.001,0.1390502229332924,0.590576171875,70332.640625,9.626308173057623
ppo,1,11,2816,-12756.28655691207,1294.6221513187597,0.0,-15.852396690069206,0.04001917131245136,54081739.0,0.719272568821907,0.001,0.057576850056648254,0.39453125,72223.380859375,9.519481010036543
ppo,1,12,3072,-12994.176115559765,1300.1118657028737,0.0,-15.85647087448404,0.04559461399912834,55131672.0,0.7192645370960236,0.001,0.056743938475847244,0.439453125,74068.080078125,9.514373140991665
ppo,1,13,3328,-12950.13005802597,1290.7094913261274,0.0,-15.819517677141992,0.04213721526321024,55590734.5,0.7192520424723625,0.001,0.17314925231039524,0.612060546875,74444.4189453125,9.523137672920711
ppo,1,14,3584,-12436.72271818807,1249.2054321197138,0.0,-15.40490814546274,0.03782673476962373,50679450.5,0.719243697822094,0.001,0.15394826047122478,0.597412109375,72361.5263671875,9.53474938904401
ppo,1,15,3840,-12916.06279784586,1290.3096662622825,0.0,-15.75194553660389,0.043703290866687894,54771626.5,0.7192655876278877,0.001,0.1635740101337433,0.589599609375,75508.654296875,9.550063521019183
ppo,1,16,4096,-12708.679280645843,1257.7860063979301,0.0,-15.514090935999679,0.032208186108618975,52935686.0,0.7192844152450562,0.001,0.05305829644203186,0.40771484375,74387.345703125,9.526675309054554
ppo,1,17,4352,-13036.638601717234,1281.2000275836767,0.0,-15.995538706228038,0.03866622410714626,55049997.0,0.719274640083313,0.001,0.06206429749727249,0.39990234375,76257.126953125,9.550701585016213
ppo,1,18,4608,-12715.401746067433,1263.3773612580903,0.0,-15.528444636265819,0.05897150095552206,53269081.0,0.7192700952291489,0.001,0.08237140998244286,0.45654296875,74613.83984375,9.623874866985716
ppo,1,19,4864,-12881.407531228804,1263.3179514921003,0.0,-15.541528541781439,0.048893018858507276,54089452.0,0.7192834615707397,0.001,0.07604916021227837,0.44189453125,75578.634765625,9.586544319055974
ppo,1,20,5120,-12738.048871350267,1264.252111871955,0.0,-15.532295683934795,0.03733709268271923,52835628.0,0.7193106561899185,0.001,0.06621533259749413,0.41943359375,75017.76171875,9.57524574897252
ppo,1,21,5376,-12424.473276505916,1218.7496482507086,0.0,-15.038494774717933,0.05067958612926304,50327752.5,0.7193621769547462,0.001,0.16592517122626305,0.612060546875,73000.3017578125,9.601417448022403
ppo,1,22,5632,-12885.901691688687,1262.7104369048343,0.0,-15.647748549637647,0.04117462271824479,53742903.0,0.7194190919399261,0.001,0.06634100154042244,0.39990234375,75846.865234375,9.611218636040576
ppo,1,23,5888,-12746.20595107101,1255.2286732512005,0.0,-15.38293613888251,0.029584538657218218,52965886.0,0.7194513529539108,0.001,0.07245589420199394,0.4140625,75241.029296875,9.604046583990566
ppo,1,24,6144,-12751.014952385725,1269.0262647977888,0.0,-15.637728412371903,0.03708056127652526,52408036.0,0.7194683104753494,0.001,0.06001594290137291,0.4248046875,75391.91015625,9.545118398033082
ppo,1,25,6400,-12518.23745741998,1258.3458131838363,0.0,-15.56882140658455,0.042989146895706654,51368147.0,0.7194874808192253,0.001,0.12379825301468372,0.568603515625,74502.373046875,9.6377671220107
ppo,1,26,6656,-13256.789916971575,1305.15053690067,0.0,-15.767355196919679,0.03425319539383054,57162447.5,0.7194916978478432,0.001,0.12149042822420597,0.540283203125,78463.291015625,9.639404990011826
ppo,1,27,6912,-13128.70594462765,1285.2227916615043,0.0,-15.945063069618476,0.034460305818356574,55719292.0,0.7195453867316246,0.001,0.12887959741055965,0.572509765625,77629.8935546875,9.56262174306903
ppo,1,28,7168,-12507.159390734285,1222.5879007259155,0.0,-15.097594441670877,0.03260822989977896,50987787.0,0.7196142971515656,0.001,0.13869327493011951,0.556640625,74019.669921875,9.642321808962151
ppo,1,29,7424,-12581.71321809253,1240.9409600558138,0.0,-15.403418664565182,0.038403586484491825,51831013.5,0.7196771129965782,0.001,0.15125420317053795,0.57470703125,74498.94140625,9.644357640994713
ppo,1,30,7680,-13026.54568166433,1274.1763139864695,0.0,-15.654786715047877,0.041517267120070755,55243055.5,0.7197281941771507,0.001,0.1465145219117403,0.588134765625,76865.1708984375,9.529602484079078
ppo,1,31,7936,-12517.980603007656,1251.6905002131912,0.0,-15.5835671263495,0.04473789338953793,51276967.0,0.7197494655847549,0.001,0.0671309120953083,0.40234375,74713.79296875,9.544185503968038
ppo,1,32,8192,-12729.274044644513,1259.7076644822523,0.0,-15.675008771219108,0.04359713359735906,52079169.0,0.7198019325733185,0.001,0.13353409431874752,0.591796875,75640.4736328125,9.595216667978093
ppo,1,33,8448,-12896.126649580594,1272.0066073518897,0.0,-15.669186084367704,0.044387680012732744,54100967.0,0.7198704481124878,0.001,0.054190002381801605,0.4091796875,76727.48046875,9.623926130007021
ppo,1,34,8704,-12703.564292196521,1263.4634564528758,0.0,-15.779665467099846,0.03642027918249369,51669281.0,0.7199082523584366,0.001,0.062225524336099625,0.396484375,75662.49609375,9.541659771930426
ppo,1,35,8960,-12916.020627455173,1294.519065433527,0.0,-15.947941396336434,0.03982837684452534,54918369.0,0.7199392914772034,0.001,0.06355191022157669,0.40673828125,77159.888671875,9.537858825060539
ppo,1,36,9216,-13018.518314060035,1283.0102047230384,0.0,-15.787285896731703,0.046268667094409466,55457784.0,0.7199588268995285,0.001,0.06890930980443954,0.42333984375,77572.9765625,9.544614318059757
