algo,seed,update,entropy_mean,entropy_threshold,high_entropy_rate,macro_step_rate,average_macro_length,num_macro_segments
ppo,1,1,0.7188291251659393,nan,1.0,0.0,1.0,0.0
ppo,1,2,0.7185220271348953,nan,1.0,0.0,1.0,0.0
ppo,1,3,0.7182027449210485,nan,1.0,0.0,1.0,0.0
ppo,1,4,0.717776395380497,nan,1.0,0.0,1.0,0.0
ppo,1,5,0.7172547876834869,nan,1.0,0.0,1.0,0.0
ppo,1,6,0.7167759910225868,nan,1.0,0.0,1.0,0.0
ppo,1,7,0.7163047194480896,nan,1.0,0.0,1.0,0.0
ppo,1,8,0.7155514806509018,nan,1.0,0.0,1.0,0.0
ppo,1,9,0.7144336700439453,nan,1.0,0.0,1.0,0.0
ppo,1,10,0.7127730399370193,nan,1.0,0.0,1.0,0.0
ppo,1,11,0.7109566181898117,nan,1.0,0.0,1.0,0.0
ppo,1,12,0.7098219394683838,nan,1.0,0.0,1.0,0.0
ppo,1,13,0.7086444050073624,nan,1.0,0.0,1.0,0.0
ppo,1,14,0.7070770114660263,nan,1.0,0.0,1.0,0.0
ppo,1,15,0.7057404220104218,nan,1.0,0.0,1.0,0.0
ppo,1,16,0.705250084400177,nan,1.0,0.0,1.0,0.0
ppo,1,17,0.7044276744127274,nan,1.0,0.0,1.0,0.0
ppo,1,18,0.7030624896287918,nan,1.0,0.0,1.0,0.0
ppo,1,19,0.702218770980835,nan,1.0,0.0,1.0,0.0
ppo,1,20,0.7017342001199722,nan,1.0,0.0,1.0,0.0
ppo,1,21,0.7010504901409149,nan,1.0,0.0,1.0,0.0
ppo,1,22,0.7005778849124908,nan,1.0,0.0,1.0,0.0
ppo,1,23,0.6995832175016403,nan,1.0,0.0,1.0,0.0
ppo,1,24,0.6990309357643127,nan,1.0,0.0,1.0,0.0
ppo,1,25,0.6977501213550568,nan,1.0,0.0,1.0,0.0
ppo,1,26,0.6968869566917419,nan,1.0,0.0,1.0,0.0
ppo,1,27,0.6962487548589706,nan,1.0,0.0,1.0,0.0
ppo,1,28,0.6948011592030525,nan,1.0,0.0,1.0,0.0
ppo,1,29,0.695011630654335,nan,1.0,0.0,1.0,0.0
ppo,1,30,0.6948830112814903,nan,1.0,0.0,1.0,0.0
ppo,1,31,0.6940770670771599,nan,1.0,0.0,1.0,0.0
ppo,1,32,0.6941024512052536,nan,1.0,0.0,1.0,0.0
ppo,1,33,0.6933232769370079,nan,1.0,0.0,1.0,0.0
ppo,1,34,0.6933397874236107,nan,1.0,0.0,1.0,0.0
ppo,1,35,0.6940108388662338,nan,1.0,0.0,1.0,0.0
ppo,1,36,0.6943496465682983,nan,1.0,0.0,1.0,0.0
ppo,1,37,0.6923343911767006,nan,1.0,0.0,1.0,0.0
ppo,1,38,0.6937445625662804,nan,1.0,0.0,1.0,0.0
ppo,1,39,0.6922864615917206,nan,1.0,0.0,1.0,0.0
ppo,1,40,0.6924620643258095,nan,1.0,0.0,1.0,0.0
ppo,1,41,0.692405954003334,nan,1.0,0.0,1.0,0.0
ppo,1,42,0.6916890740394592,nan,1.0,0.0,1.0,0.0
ppo,1,43,0.6891836747527122,nan,1.0,0.0,1.0,0.0
ppo,1,44,0.6916173622012138,nan,1.0,0.0,1.0,0.0
ppo,1,45,0.6904056270917257,nan,1.0,0.0,1.0,0.0
ppo,1,46,0.6886600777506828,nan,1.0,0.0,1.0,0.0
ppo,1,47,0.6896154955029488,nan,1.0,0.0,1.0,0.0
