algo,seed,update,episode,entropy_mean,entropy_threshold,high_entropy_rate,macro_step_rate,average_macro_length,num_macro_segments
ppo,1,1,128,0.7189268618822098,nan,1.0,0.0,1.0,0.0
ppo,1,2,256,0.7188527137041092,nan,1.0,0.0,1.0,0.0
ppo,1,3,384,0.718753457069397,nan,1.0,0.0,1.0,0.0
ppo,1,4,512,0.7186522483825684,nan,1.0,0.0,1.0,0.0
ppo,1,5,640,0.718542754650116,nan,1.0,0.0,1.0,0.0
ppo,1,6,768,0.7184139043092728,nan,1.0,0.0,1.0,0.0
ppo,1,7,896,0.7183022201061249,nan,1.0,0.0,1.0,0.0
ppo,1,8,1024,0.7181674838066101,nan,1.0,0.0,1.0,0.0
ppo,1,9,1152,0.7180303782224655,nan,1.0,0.0,1.0,0.0
ppo,1,10,1280,0.717906191945076,nan,1.0,0.0,1.0,0.0
ppo,1,11,1408,0.7177610099315643,nan,1.0,0.0,1.0,0.0
ppo,1,12,1536,0.7176199108362198,nan,1.0,0.0,1.0,0.0
ppo,1,13,1664,0.7174456864595413,nan,1.0,0.0,1.0,0.0
ppo,1,14,1792,0.7173002660274506,nan,1.0,0.0,1.0,0.0
ppo,1,15,1920,0.7171676158905029,nan,1.0,0.0,1.0,0.0
ppo,1,16,2048,0.7170362621545792,nan,1.0,0.0,1.0,0.0
ppo,1,17,2176,0.7168263047933578,nan,1.0,0.0,1.0,0.0
ppo,1,18,2304,0.7165855318307877,nan,1.0,0.0,1.0,0.0
ppo,1,19,2432,0.7162622362375259,nan,1.0,0.0,1.0,0.0
ppo,1,20,2560,0.7160341590642929,nan,1.0,0.0,1.0,0.0
ppo,1,21,2688,0.7157939523458481,nan,1.0,0.0,1.0,0.0
ppo,1,22,2816,0.7154994308948517,nan,1.0,0.0,1.0,0.0
ppo,1,23,2944,0.7153344303369522,nan,1.0,0.0,1.0,0.0
ppo,1,24,3072,0.7151056081056595,nan,1.0,0.0,1.0,0.0
ppo,1,25,3200,0.7148463577032089,nan,1.0,0.0,1.0,0.0
ppo,1,26,3328,0.7145538330078125,nan,1.0,0.0,1.0,0.0
ppo,1,27,3456,0.7144060432910919,nan,1.0,0.0,1.0,0.0
ppo,1,28,3584,0.7142250239849091,nan,1.0,0.0,1.0,0.0
ppo,1,29,3712,0.7141554951667786,nan,1.0,0.0,1.0,0.0
ppo,1,30,3840,0.7139451652765274,nan,1.0,0.0,1.0,0.0
ppo,1,31,3968,0.713671550154686,nan,1.0,0.0,1.0,0.0
ppo,1,32,4096,0.7132104933261871,nan,1.0,0.0,1.0,0.0
ppo,1,33,4224,0.7128660678863525,nan,1.0,0.0,1.0,0.0
ppo,1,34,4352,0.7126426994800568,nan,1.0,0.0,1.0,0.0
ppo,1,35,4480,0.7122779190540314,nan,1.0,0.0,1.0,0.0
ppo,1,36,4608,0.7119215577840805,nan,1.0,0.0,1.0,0.0
ppo,1,37,4736,0.7115457206964493,nan,1.0,0.0,1.0,0.0
ppo,1,38,4864,0.7113810032606125,nan,1.0,0.0,1.0,0.0
ppo,1,39,4992,0.7114076167345047,nan,1.0,0.0,1.0,0.0
ppo,1,40,5120,0.7111293077468872,nan,1.0,0.0,1.0,0.0
ppo,1,41,5248,0.7105849832296371,nan,1.0,0.0,1.0,0.0
ppo,1,42,5376,0.7102252840995789,nan,1.0,0.0,1.0,0.0
ppo,1,43,5504,0.7096526473760605,nan,1.0,0.0,1.0,0.0
ppo,1,44,5632,0.7094890624284744,nan,1.0,0.0,1.0,0.0
ppo,1,45,5760,0.7090523838996887,nan,1.0,0.0,1.0,0.0
ppo,1,46,5888,0.7085707187652588,nan,1.0,0.0,1.0,0.0
ppo,1,47,6016,0.708105206489563,nan,1.0,0.0,1.0,0.0
ppo,1,48,6144,0.7076827883720398,nan,1.0,0.0,1.0,0.0
ppo,1,49,6272,0.7076428532600403,nan,1.0,0.0,1.0,0.0
ppo,1,50,6400,0.7072311192750931,nan,1.0,0.0,1.0,0.0
ppo,1,51,6528,0.7070064395666122,nan,1.0,0.0,1.0,0.0
ppo,1,52,6656,0.7069567292928696,nan,1.0,0.0,1.0,0.0
ppo,1,53,6784,0.7066085040569305,nan,1.0,0.0,1.0,0.0
ppo,1,54,6912,0.706180214881897,nan,1.0,0.0,1.0,0.0
